PMC5482951,Q33830349,Coffee and caffeine intake and male infertility: a systematic review.,Q114264,cola,1,Q33830349	P921	Q114264
PMC5489199,Q38704560,Expanding the geography of evapotranspiration: An improved method to quantify land-to-air water fluxes in tropical and subtropical regions.,Q114264,cola,1,Q38704560	P921	Q114264
PMC5490465,Q33851682,"Europatitan eastwoodi, a new sauropod from the lower Cretaceous of Iberia in the initial radiation of somphospondylans in Laurasia.",Q5715001,Azanza,1,Q33851682	P921	Q5715001
PMC5493080,Q33859056,"Plants as highly diverse sources of construction wood, handicrafts and fibre in the Heihe valley (Qinling Mountains, Shaanxi, China): the importance of minor forest products.",Q127849,Tilia,1,Q33859056	P921	Q127849
PMC5495397,Q33865910,"High acceptability of rapid HIV self-testing among a diverse sample of MSM from Buenos Aires, Argentina.",Q311463,Sida,1,Q33865910	P921	Q311463
PMC5508817,Q38369220,"The fossil Osmundales (Royal Ferns)-a phylogenetic network analysis, revised taxonomy, and evolutionary classification of anatomically preserved trunks and rhizomes.",Q311463,SIDA,1,Q38369220	P921	Q311463
PMC5516258,Q33916498,"A Nonredundant Phosphopantetheinyl Transferase, PptA, Is a Novel Antifungal Target That Directs Secondary Metabolite, Siderophore, and Lysine Biosynthesis in Aspergillus fumigatus and Is Critical for Pathogenicity.",Q311463,sidA,1,Q33916498	P921	Q311463
PMC5538747,Q38648613,Higher risk of gastrointestinal parasite infection at lower elevation suggests possible constraints in the distributional niche of Alpine marmots.,Q2309085,Durio,1,Q38648613	P921	Q2309085
PMC5540278,Q38648472,A versatile one-step CRISPR-Cas9 based approach to plasmid-curing.,Q114264,colA,1,Q38648472	P921	Q114264
PMC5504801,Q33892670,Patient benefit of dog-assisted interventions in health care: a systematic review.,Q8353440,DAIs,1,Q33892670	P921	Q8353440
PMC5507324,Q33897944,Environmental bacteriophages active on biofilms and planktonic forms of toxigenic Vibrio cholerae: Potential relevance in cholera epidemiology.,Q311463,Sida,1,Q33897944	P921	Q311463
PMC5538745,Q38368699,DNA barcoding of odonates from the Upper Plata basin: Database creation and genetic diversity estimation.,Q2850145,Anisoptera,1,Q38368699	P921	Q2850145
