PMC5486150,Q33839198,"Development of a High-Density SNP-Based Linkage Map and Detection of QTL for β-Glucans, Protein Content, Grain Yield per Spike and Heading Time in Durum Wheat.",Q161098,Triticum aestivum,1,Q33839198	P921	Q161098
PMC5483221,Q38710231,Comparative Expression Analysis of Rice and Arabidopsis Peroxiredoxin Genes Suggests Conserved or Diversified Roles Between the Two Species and Leads to the Identification of Tandemly Duplicated Rice Peroxiredoxin Genes Differentially Expressed in S,Q161426,Oryza sativa,1,Q38710231	P921	Q161426
PMC5487450,Q33843283,Abscisic Acid Regulates Auxin Homeostasis in Rice Root Tips to Promote Root Hair Elongation.,Q161426,Oryza sativa,1,Q33843283	P921	Q161426
PMC5489522,Q38703738,Trait-based model development to support breeding programs. A case study for salt tolerance and rice.,Q161426,Oryza sativa,1,Q38703738	P921	Q161426
PMC5491428,Q33854067,"Phenology, sterility and inheritance of two environment genic male sterile (EGMS) lines for hybrid rice.",Q161426,Oryza sativa,1,Q33854067	P921	Q161426
PMC5501409,Q33883577,Exotic QTL improve grain quality in the tri-parental wheat population SW84.,Q161098,Triticum aestivum,1,Q33883577	P921	Q161098
PMC5501559,Q38690685,"Plant-RRBS, a bisulfite and next-generation sequencing-based methylome profiling method enriching for coverage of cytosine positions.",Q161426,Oryza sativa,1,Q38690685	P921	Q161426
PMC5501849,Q33885020,Rice Flowering Locus T 1 plays an important role in heading date influencing yield traits in rice.,Q161426,Oryza sativa,1,Q33885020	P921	Q161426
PMC5507442,Q38658626,Genome wide re-sequencing of newly developed Rice Lines from common wild rice (Oryza rufipogon Griff.) for the identification of NBS-LRR genes.,Q161426,Oryza sativa,1,Q38658626	P921	Q161426
PMC5511259,Q33906099,Alternative functions of Hd1 in repressing or promoting heading are determined by Ghd7 status under long-day conditions.,Q161426,Oryza sativa,1,Q33906099	P921	Q161426
PMC5517400,Q38642060,Simultaneous Improvement and Genetic Dissection of Salt Tolerance of Rice (Oryza sativa L.) by Designed QTL Pyramiding.,Q161426,Oryza sativa,1,Q38642060	P921	Q161426
PMC5529384,Q38629480,QTL Analysis and Nested Association Mapping for Adult Plant Resistance to Powdery Mildew in Two Bread Wheat Populations.,Q161098,Triticum aestivum,1,Q38629480	P921	Q161098
PMC5537994,Q38651279,Development of a high-density linkage map and mapping of the three-pistil gene (Pis1) in wheat using GBS markers.,Q161098,Triticum aestivum,1,Q38651279	P921	Q161098
PMC5489591,Q33849479,Bacillus licheniformis SA03 Confers Increased Saline-Alkaline Tolerance in Chrysanthemum Plants by Induction of Abscisic Acid Accumulation.,Q161426,Oryza sativa,1,Q33849479	P921	Q161426
PMC5495829,Q33867119,G Quadruplex in Plants: A Ubiquitous Regulatory Element and Its Biological Relevance.,Q161426,Oryza sativa,1,Q33867119	P921	Q161426
PMC5501352,Q33883414,Genome-wide characterization of the aldehyde dehydrogenase gene superfamily in soybean and its potential role in drought stress response.,Q161426,Oryza sativa,1,Q33883414	P921	Q161426
PMC5501844,Q33884994,Seed Pelleting with Calcium Peroxide Improves Crop Establishment of Direct-seeded Rice under Waterlogging Conditions.,Q161426,oryza sativa,1,Q33884994	P921	Q161426
PMC5503220,Q33888078,Antimutagenic and Antioxidant Activities of Thai Rice Brans.,Q161426,Oryza sativa,1,Q33888078	P921	Q161426
PMC5513986,Q38645558,Whole-Genome Analysis of Candidate genes Associated with Seed Size and Weight in Sorghum bicolor Reveals Signatures of Artificial Selection and Insights into Parallel Domestication in Cereal Crops.,Q161426,Oryza sativa,1,Q38645558	P921	Q161426
PMC5516253,Q33916475,Drought Stress Results in a Compartment-Specific Restructuring of the Rice Root-Associated Microbiomes.,Q161426,Oryza sativa,1,Q33916475	P921	Q161426
PMC5517489,Q38400433,Overexpression of Golgi Protein CYP21-4s Improves Crop Productivity in Potato and Rice by Increasing the Abundance of Mannosidic Glycoproteins.,Q161426,Oryza sativa,1,Q38400433	P921	Q161426
PMC5478703,Q33819270,The Complex Cell Wall Composition of Syncytia Induced by Plant Parasitic Cyst Nematodes Reflects Both Function and Host Plant.,Q161098,Triticum aestivum,1,Q33819270	P921	Q161098
PMC5478719,Q38692091,"Identification of Putative Transmembrane Proteins Involved in Salinity Tolerance in Chenopodium quinoa by Integrating Physiological Data, RNAseq, and SNP Analyses.",Q161426,Oryza sativa,1,Q38692091	P921	Q161426
PMC5478899,Q33820113,Allelic Interactions among Pto-MIR475b and Its Four Target Genes Potentially Affect Growth and Wood Properties in Populus.,Q161426,Oryza sativa,1,Q33820113	P921	Q161426
PMC5479865,Q33822628,From shifting cultivation to teak plantation: effect on overland flow and sediment yield in a montane tropical catchment.,Q161426,Oryza sativa,1,Q33822628	P921	Q161426
PMC5486143,Q33839173,Identification and Validation of Reference Genes for Seashore Paspalum Response to Abiotic Stresses.,Q161426,Oryza sativa,1,Q33839173	P921	Q161426
PMC5488377,Q33846368,Genome-wide identification and expression analysis of SBP-like transcription factor genes in Moso Bamboo (Phyllostachys edulis).,Q161426,Oryza sativa,1,Q33846368	P921	Q161426
PMC5491270,Q33853811,Genomic fossils reveal adaptation of non-autonomous pararetroviruses driven by concerted evolution of noncoding regulatory sequences.,Q161426,Oryza sativa,1,Q33853811	P921	Q161426
PMC5493659,Q33860983,An integrated hyperspectral imaging and genome-wide association analysis platform provides spectral and genetic insights into the natural variation in rice.,Q161426,Oryza sativa,1,Q33860983	P921	Q161426
PMC5494133,Q33862572,Genome-wide organization and expression profiling of the R2R3-MYB transcription factor family in pineapple (Ananas comosus).,Q161426,Oryza sativa,1,Q33862572	P921	Q161426
PMC5496985,Q33871121,New technologies accelerate the exploration of non-coding RNAs in horticultural plants.,Q161426,Oryza sativa,1,Q33871121	P921	Q161426
PMC5498572,Q33875655,"The Sulfoquinovosyltransferase-like Enzyme SQD2.2 is Involved in Flavonoid Glycosylation, Regulating Sugar Metabolism and Seed Setting in Rice.",Q161426,Oryza sativa,1,Q33875655	P921	Q161426
PMC5499015,Q33876916,Genome-scale analysis of regulatory protein acetylation enzymes from photosynthetic eukaryotes.,Q161426,Oryza sativa,1,Q33876916	P921	Q161426
PMC5504602,Q33892027,Identification of QTLs controlling grain protein concentration using a high-density SNP and SSR linkage map in barley (Hordeum vulgare L.).,Q161426,Oryza sativa,1,Q33892027	P921	Q161426
PMC5504982,Q33893169,Development of a phenotyping platform for high throughput screening of nodal root angle in sorghum.,Q161098,Triticum aestivum,1,Q33893169	P921	Q161098
PMC5507956,Q38656317,Conserved Function of Fibrillin5 in the Plastoquinone-9 Biosynthetic Pathway in Arabidopsis and Rice.,Q161426,Oryza sativa,1,Q38656317	P921	Q161426
PMC5491850,Q33855308,"Genome-Wide Identification and Analysis of Genes, Conserved between japonica and indica Rice Cultivars, that Respond to Low-Temperature Stress at the Vegetative Growth Stage.",Q161426,Oryza sativa,0.8333333333333334,Q33855308	P921	Q161426
PMC5494140,Q33862609,"Genetic diversity, population structure and marker-trait associations for agronomic and grain traits in wild diploid wheat Triticum urartu.",Q161098,Triticum aestivum,0.8333333333333334,Q33862609	P921	Q161098
