PMC5503274,Q33888343,Overweight in young males reduce fertility in rabbit model.,Q179399,infertility,0.7142857142857143,Q33888343	P921	Q179399
PMC5504549,Q33891765,Polycystic ovary syndrome induced by exposure to testosterone propionate and effects of sympathectomy on the persistence of the syndrome.,Q25556,anovulation,0.7142857142857143,Q33891765	P921	Q25556
PMC5504800,Q33892665,Alcohol and fertility: how much is too much?,Q179399,infertility,0.7142857142857143,Q33892665	P921	Q179399
PMC5504832,Q33892797,The attenuation of renal fibrosis by histone deacetylase inhibitors is associated with the plasticity of FOXP3+IL-17+ T cells.,Q18556674,Ureteral obstruction,0.7142857142857143,Q33892797	P921	Q18556674
PMC5503987,Q33890223,The production of fibroblast growth factor 23 is controlled by TGF-β2.,Q1054718,kidney disease,0.5,Q33890223	P921	Q1054718
PMC5507311,Q33897885,Direct medical cost associated with diabetic retinopathy severity in type 2 diabetes in Singapore.,Q1054718,Kidney Disease,0.5,Q33897885	P921	Q1054718
PMC5507321,Q33897926,Predictors and long-term health outcomes of eating disorders.,Q179399,infertility,0.5,Q33897926	P921	Q179399
PMC5503235,Q33888147,Benzodiazepine and Z-drug use and risk of pneumonia in patients with chronic kidney disease: A population-based nested case-control study.,Q1054718,kidney disease,0.45454545454545453,Q33888147	P921	Q1054718
PMC5504712,Q33892341,Medical diagnosis as a linguistic game.,Q605006,glomerulonephritis,0.4444444444444444,Q33892341	P921	Q605006
PMC5504722,Q33892377,Serum lactate level and mortality in metformin-associated lactic acidosis requiring renal replacement therapy: a systematic review of case reports and case series.,Q424337,acute kidney injury,0.4166666666666667,Q33892377	P921	Q424337
PMC5479575,Q33821915,Measurement properties of patient-reported outcome measures (PROMs) used in adult patients with chronic kidney disease: A systematic review.,Q1054718,kidney disease,0.4166666666666667,Q33821915	P921	Q1054718
PMC5481381,Q33826145,Serum C3 and Renal Outcome in Patients with Primary Focal Segmental Glomerulosclerosis.,Q5571239,glomerulosclerosis,0.4166666666666667,Q33826145	P921	Q5571239
PMC5482951,Q33830349,Coffee and caffeine intake and male infertility: a systematic review.,Q179399,infertility,0.4166666666666667,Q33830349	P921	Q179399
PMC5484693,Q33835256,"Serum hepcidin may be a novel uremic toxin, which might be related to erythropoietin resistance.",Q1054718,kidney disease,0.4166666666666667,Q33835256	P921	Q1054718
PMC5485572,Q33837039,The Risk of Oxygen during Cardiac Surgery (ROCS) trial: study protocol for a randomized clinical trial.,Q1054718,kidney disease,0.4166666666666667,Q33837039	P921	Q1054718
PMC5491167,Q33853514,Rapid deterioration of preexisting renal insufficiency after autologous mesenchymal stem cell therapy.,Q1054718,kidney disease,0.4166666666666667,Q33853514	P921	Q1054718
PMC5493344,Q33860060,Comparison of the CBA-H and SF-36 for the screening of the psychological and behavioural variables in chronic dialysis patients.,Q1054718,Kidney Disease,0.4166666666666667,Q33860060	P921	Q1054718
PMC5494879,Q33864537,Impact of comorbidities on gout and hyperuricaemia: an update on prevalence and treatment options.,Q1054718,kidney disease,0.4166666666666667,Q33864537	P921	Q1054718
PMC5497357,Q33872095,White matter damage in maintenance hemodialysis patients: a diffusion tensor imaging study.,Q1054718,kidney disease,0.4166666666666667,Q33872095	P921	Q1054718
PMC5501516,Q33883879,Dipeptidyl peptidase-4 inhibitor gemigliptin protects against vascular calcification in an experimental chronic kidney disease and vascular smooth muscle cells.,Q1054718,Kidney Disease,0.4166666666666667,Q33883879	P921	Q1054718
